,fiyat,sehir,metrekare,Bulunduğu Kat,Isıtma Tipi,Bina Yaş,Binanın Kat Sayısı
19715,1625000,kocaeli,70,2.0,Kombi Doğalgaz,4.0,3
19724,1750000,kocaeli,60,2.0,Yerden Isıtma,0.0,4
19804,2450000,kocaeli,55,1.0,Yerden Isıtma,4.0,4
19875,1750000,kocaeli,45,1.0,Kombi Doğalgaz,7.0,3
19879,30000000,kocaeli,500,,Yerden Isıtma,7.0,3
19907,11000000,kocaeli,349,,Yerden Isıtma,0.0,4
19912,1490000,kocaeli,50,1.0,Kombi Doğalgaz,7.0,3
19951,75000000,kocaeli,661,,Kombi Doğalgaz,7.0,5
19955,75000000,kocaeli,661,,Kombi Doğalgaz,7.0,5
20061,1650000,kocaeli,55,1.0,Kombi Doğalgaz,4.0,3
20077,1400000,kocaeli,60,1.0,Kombi Doğalgaz,7.0,3
20100,1550000,kocaeli,55,2.0,Kombi Doğalgaz,4.0,4
20197,3250000,kocaeli,62,2.0,Yerden Isıtma,0.0,3
